gene	cluster	avg_log2FC	pct.1	pct.2	pct_diff	p_val	p_val_adj
Gmnc	5	0.541034655507779	0.291	0.045	0.246	8.51834537809128e-160	2.75014780531677e-155
Erbb4	5	0.537258665230108	0.741	0.577	0.164	3.1508510839582e-30	1.0172522724559e-25
Tox	5	0.515445390998776	0.915	0.728	0.187	1.43752470184773e-65	4.64104849991539e-61
Cntn6	5	0.5082718083886	0.817	0.567	0.25	1.19362358429308e-67	3.85361374189022e-63
Adgrv1	5	0.494867462275571	0.798	0.535	0.263	9.1676964336882e-63	2.95979079361624e-58
Tafa2	5	0.487569298554645	0.931	0.723	0.208	3.54038848909306e-53	1.14301442370369e-48
Lrrtm3	5	0.479172314061822	0.871	0.736	0.135	5.85546723162052e-44	1.89043759572869e-39
Fras1	5	0.47712488715766	0.646	0.452	0.194	1.05669624292324e-38	3.41154382027769e-34
Gria3	5	0.476979238105247	0.974	0.871	0.103	9.36873495028877e-75	3.02469607870073e-70
Gm5089	5	0.467663263252033	0.431	0.242	0.189	1.29057026557735e-40	4.16660610241648e-36
Kcnk2	5	0.466790810347194	0.794	0.633	0.161	1.19582999402415e-41	3.86073713570696e-37
Mef2c	5	0.465498865219095	0.647	0.453	0.194	5.99211837309898e-38	1.93455541675501e-33
Cdh6	5	0.460470206125277	0.805	0.597	0.208	1.64856380047175e-46	5.32238822982306e-42
Car8	5	0.454301563695063	0.422	0.17	0.252	3.22355495118131e-74	1.04072471598889e-69
Adcy2	5	0.448151824589625	0.813	0.531	0.282	5.80472491622648e-48	1.87405543920372e-43
Crim1	5	0.443948153279908	0.636	0.447	0.189	7.79956132350182e-40	2.51808837329256e-35
Chn2	5	0.442207557360551	0.789	0.558	0.231	2.76691551714776e-46	8.93298674711154e-42
Gm28905	5	0.416781439008639	0.753	0.628	0.125	4.5443678788827e-28	1.46714916969728e-23
Zfp385b	5	0.408143601933379	0.395	0.22	0.175	5.80814109805304e-33	1.87515835350642e-28
Flrt2	5	0.394391485399775	0.437	0.19	0.247	2.58759397558493e-58	8.35404715017596e-54
Plce1	5	0.39286814886818	0.717	0.561	0.156	3.68456918750459e-33	1.18956316218586e-28
Sox1ot	5	0.389057196462457	0.384	0.14	0.244	6.85158560211099e-76	2.21203441164153e-71
Ammecr1	5	0.388877043287277	0.867	0.737	0.13	8.88279826059704e-33	2.86781141843376e-28
Nyap2	5	0.378592064530132	0.86	0.729	0.131	9.23484454119779e-39	2.98146956012571e-34
Fam184a	5	0.348575974721286	0.749	0.63	0.119	3.29820797179265e-28	1.06482644369326e-23
B230216N24Rik	5	0.347253193649309	0.444	0.271	0.173	1.75344635258626e-33	5.66100154932474e-29
Aff3	5	0.344636405274055	0.893	0.792	0.101	3.15177994565331e-32	1.01755215545417e-27
Plcb1	5	0.336786865628105	0.933	0.76	0.173	4.81046460762717e-34	1.55305849857243e-29
Zmat4	5	0.336030428477513	0.495	0.328	0.167	3.14501864960889e-26	1.01536927102623e-21
Tspan5	5	0.334899924040671	0.714	0.576	0.138	1.74758556003172e-28	5.64207998056242e-24
Cartpt	1	1.64706603415738	0.991	0.645	0.346	1.04817154018123e-304	3.3840218174751e-300
Adarb2	1	1.52214900684931	0.775	0.308	0.467	2.00515648150402e-233	6.47364770053573e-229
Unc5d	1	1.51294894121246	0.961	0.415	0.546	0	0
Kctd8	1	1.42029643775561	0.962	0.562	0.4	6.41124146398095e-266	2.06986930664625e-261
Alk	1	1.26891308632483	0.982	0.601	0.381	5.45912153843972e-231	1.76247738868526e-226
Rspo3	1	1.16959408185605	0.778	0.376	0.402	9.94106077748145e-205	3.20947147200989e-200
Dscaml1	1	1.1497702956131	0.895	0.423	0.472	1.22522638884366e-259	3.95564339638176e-255
Adamtsl1	1	1.10896399190584	0.777	0.313	0.464	2.49357714019267e-197	8.05051379711203e-193
Tmtc1	1	1.08344078577315	0.846	0.524	0.322	9.97123057748877e-194	3.21921179194225e-189
Sema5a	1	1.00161753005064	0.771	0.363	0.408	8.37492929316198e-183	2.70384592229734e-178
Thsd4	1	0.942545175001114	0.735	0.399	0.336	8.74638725898435e-141	2.8237711265631e-136
Sulf1	1	0.927474101225065	0.548	0.127	0.421	4.59098265066704e-240	1.48219874876785e-235
Sgcd	1	0.873161422518064	0.804	0.49	0.314	3.63676234273526e-118	1.17412872235208e-113
Greb1l	1	0.858071872023226	0.817	0.545	0.272	1.06298160254374e-138	3.43183610381247e-134
